R_th,R_v_0,R_v_1,R_v_2,R_v_3,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,dt,meas_th,meas_vel_0,meas_vel_1,x0_0,x0_1,x0_2,x0_3,P0_0,P0_1,P0_2,P0_3,P0_4,P0_5,P0_6,P0_7,P0_8,P0_9,P0_10,P0_11,P0_12,P0_13,P0_14,P0_15,truth_0,truth_1,truth_2,truth_3
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5343909436768643,3786.2682242892565,964.9166101415951,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,555887.4328642885,18094002.94748223,3777.7694658948362,959.9827153969478
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5365110102050479,3776.582833883526,925.2239430874727,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,612550.9640787054,18108266.67048754,3777.274345457604,942.0105796591217
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5348033219404797,3771.8355669053626,932.9686220637409,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,669205.9745539831,18122261.726493523,3776.644881800922,923.9771043471204
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5268905745205041,3772.9354622151004,910.1167378266288,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,725849.5410123976,18135985.645676684,3775.8022191699274,905.9096702206575
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5244113808223447,3774.4166382138565,912.6555894345412,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,782478.2380414386,18149439.29791733,3774.848358300583,888.0231883719579
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.521846430015981,3763.6344228972116,875.1257276842475,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,839097.7158113191,18162623.77201844,3774.282377736857,869.8546241443943
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5216672782312695,3767.4694431314715,838.988234604675,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,895707.6442888767,18175534.534682974,3773.8075139681673,851.7300868013696
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5197982489778705,3769.9558813670237,843.907764744577,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,952306.540043921,18188174.931532,3772.7113299072953,833.8331783105838
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5143801856370493,3768.995408485803,801.1142747390423,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1008886.8257294219,18200548.64420019,3771.406864498572,815.859371362896
1.2184696791468344e-05,100.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0025,15.0,1.5100663631770432,3774.1644835802435,801.3997021386168,0.0,20000000.0,4500.0,0.0,1000000000000.0,0.0,0.0,0.0,0.0,9000000000000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0,0.0,640000.0,1065449.4362789076,18212653.610546786,3770.1696294858343,797.9052405636065
